Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
0,MA1Ca0.12Sn0.75Pb0.12I3,-0.102624517,1.0389,0,0,0,1,0,0.125,0,0,0,0.75,0.125,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.80625,2629.5,592.92125,7.095,119.94225,85,694.6125,7.0625,259.34875,1.88625,50.25,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
1,Rb0.38Cs0.12MA0.5Pb1I3,0.100325477,1.9355,0,0.375,0.125,0.5,0,0,0,0,0,0,1,0,0,1,1.90625,611.875,245.42875,1.15825,64.7136,27.61,661.0875,4.204,46.3675,1.68125,57.25,6.125,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
2,MA1Ca0.25Ba0.38Sn0.25Pb0.12Br3,0.001848362,2.9821,0,0,0,1,0,0.25,0,0.375,0,0.25,0.125,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.10875,2190.375,855.11125,4.98,117.09575,-14.5,602.625,7.5325,186.0725,1.365,48.75,5.25,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
3,K1Ca0.75Ba0.25Cl3,0.345121438,4.4857,1,0,0,0,0,0.75,0,0.25,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.105,1837.25,1084.5,2.06,64.391,-130,568.075,8.4,151.0525,0.9725,29,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
4,K0.38Rb0.12Cs0.12FA0.38Ca1I3,0.170902437,3.4386,0.375,0.125,0.125,0,0.375,1,0,0,0,0,0,0,0,1,1.93375,745.125,335.82125,1.16025,58.8710125,32.9075,572.7625,3.86525,56.83,1.4725,52.75,5.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
5,Cs1Sr0.25Ba0.12Ge0.12Sn0.38Pb0.12I3,0.052914588,1.6723,0,0,1,0,0,0,0.25,0.125,0.125,0.375,0.125,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.97375,2393.25,801.68875,5.90875,118.56375,25.625,650.6625,10.3225,224.66375,1.62625,49.5,5.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
6,K1Sr1I3,0.472661567,3.1709,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
7,K1Ba1Cl3,0.91053431,4.1664,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
8,K0.25Rb0.38Cs0.38Pb1I3,0.24360134,1.4629,0.25,0.375,0.375,0,0,0,0,0,0,0,1,0,0,1,1.63375,972.625,314.51375,1.49075,91.664525,46.7325,396.7125,2.2445,70.5775,0.80875,39.25,5.125,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
9,MA1Ba0.25Ge0.12Sn0.62I3,-0.025793763,1.4763,0,0,0,1,0,0,0,0.25,0.125,0.625,0,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.865,2705.375,717.6375,6.13125,117.6025,77.625,663.8625,10.4775,258.31875,1.69875,49.25,5.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
10,Rb1Sn1Br3,-0.062372446,0.5672,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
11,Rb1Sn1Cl1.12Br1.88,-0.082786683,0.6212,0,1,0,0,0,0,0,0,0,1,0,0.375,0.625,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.90375,297.09875,230.7825,3.15525,63.2347625,333.675,1181.6,4.5075,13.028125,3.035,28.25,3.625
12,K0.38Cs0.25MA0.38Sr1Cl3,0.05373786,4.8767,0.375,0,0.25,0.375,0,0,1,0,0,0,0,1,0,0,1.815,723.5,269.56,1.0525,59.9257125,32.7625,598.225,3.6955,54.735,1.46125,48.25,5.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
13,FA1Pb1Cl2.62Br0.38,-0.192858805,2.6371,0,0,0,0,1,0,0,0,0,0,1,0.875,0.125,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.82875,250.76375,183.8925,3.20225,41.0091125,345.775,1237.2,3.4695,10.765625,3.135,19.25,3.125
14,Rb1Sr1I3,0.259953835,3.3325,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
15,MA1Ba1Br2.62I0.38,0.097636749,3.9356,0,0,0,1,0,0,0,1,0,0,0,0,0.875,0.125,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.99,347.55625,281.04375,3.34625,85.7790625,320.9375,1123.4625,5.59525,15.496875,2.9225,37.25,4.125
16,K0.25Rb0.25Cs0.12MA0.38Ge1Cl3,-0.375523134,2.0133,0.25,0.25,0.125,0.375,0,0,0,0,1,0,0,1,0,0,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
17,K0.38Rb0.38Cs0.25Ca1I3,0.223259254,3.4212,0.375,0.375,0.25,0,0,1,0,0,0,0,0,0,0,1,1.605,983.75,318.92125,1.3645,79.9386375,47.09125,402.1,2.27425,71.7225,0.8125,34.75,4.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
18,K0.75Cs0.25Ge1I3,0.224440154,2.4336,0.75,0,0.25,0,0,0,0,0,1,0,0,0,0,1,1.5675,1010.75,327.985,1.1125,62.550075,47.6425,408.025,2.2705,74.61,0.8125,28,4.5,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
19,K0.12Rb0.38Cs0.5Sn1Cl3,-0.209446114,0.9585,0.125,0.375,0.5,0,0,0,0,0,0,1,0,1,0,0,1.6625,961.5,310.10625,1.617,103.3904125,46.37375,391.325,2.21475,69.4325,0.805,43.75,5.375,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
20,K0.5MA0.5Sn1I3,-0.006525594,1.0178,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,1,1.84,650,258.9,0.78,35.59915,28.52,672.4,4.23,50.4,1.685,46,5.5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
21,Rb1Ca0.12Ba0.88Br3,0.488310638,3.6747,0,1,0,0,0,0.125,0,0.875,0,0,0,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.3675,2037.875,1015.75,3.335,125.1735,-65,513.7625,8.075,142.00875,0.90375,51.5,5.75,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
22,MA1Sr0.12Pb0.88Cl3,-0.153380756,2.6415,0,0,0,1,0,0,0.125,0,0,0,0.875,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19875,1977,655.81875,10.24875,192.2525,75.25,694.75,5.19875,172.775,2.1575,76.5,5.875,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
23,Cs1Sr0.12Sn0.88I3,-0.111283264,0.7958,0,0,1,0,0,0,0.125,0,0,0.875,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.77875,2723.375,572.23,6.71375,114.82375,84.875,688.7125,7.325,271.18625,1.83375,48.5,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
24,Rb1Ge1Cl1.5Br1.5,-0.219885952,0.7671,0,1,0,0,0,0,0,0,1,0,0,0.5,0.5,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
25,K1Sr0.12Ge0.88Cl3,-0.015674592,1.3612,1,0,0,0,0,0,0.125,0,0.875,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.62125,2925.5,1190.3125,4.9725,74.48625,84,735.525,28.85,309.625,1.8775,32.75,4.125,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
26,MA1Sr1Br3,-0.028810881,4.3101,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
27,MA1Sr0.5Pb0.5Cl3,-0.078545214,4.3681,0,0,0,1,0,0,0.5,0,0,0,0.5,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.225,1839,821.325,6.945,147.41,-29,632.5,6.485,157.4,1.64,60,5.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
28,Cs1Ba0.12Pb0.88I3,0.123919031,1.7481,0,0,1,0,0,0,0,0.125,0,0,0.875,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.21875,2029.875,650.81875,10.38,198.46625,89.75,688.925,5.175,173.1875,2.15,78.75,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
29,K1Sn0.88Pb0.12Br3,0.167092763,0.6721,1,0,0,0,0,0,0,0,0,0.875,0.125,0,1,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.77,2769.375,517.06125,7.815,129.77125,119.625,709.4625,6.89625,276.31125,2.00625,54,5.125,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
30,Rb1Ge0.88Pb0.12Cl3,-0.259912701,1.0926,0,1,0,0,0,0,0,0,0.875,0,0.125,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.6125,2971.5,1135.14375,6.07375,89.43375,118.75,756.275,28.42125,314.75,2.05,38.25,4.25,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
31,Rb1Ca0.25Sr0.12Ge0.12Sn0.25Pb0.25Cl3,-0.060407156,2.4364,0,1,0,0,0,0.25,0.125,0,0.125,0.25,0.25,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.94875,2259.25,836.13,6.035,111.52575,12.75,667.425,10.125,214.635,1.6925,46.75,4.875,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
32,Cs1Sr1Cl0.38Br2.62,-0.048853982,4.1935,0,0,1,0,0,0,1,0,0,0,0,0.125,0.875,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.94125,320.26625,254.2275,3.13175,74.3475875,327.625,1153.8,5.0265,14.159375,2.985,32.75,3.875
33,Cs1Sr0.25Ba0.25Ge0.25Sn0.12Pb0.12I3,0.117374316,2.6133,0,0,1,0,0,0,0.25,0.25,0.25,0.125,0.125,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.04,2322.375,952.09625,5.195,115.12875,3.875,631.6375,13.49875,211.38375,1.49875,48,5.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
34,Cs1Sn1Br0.75I2.25,-0.164445153,0.4632,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0.75,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.14,426.0875,356.5125,4.4775,115.154375,302.625,1041.275,7.1415,19.35625,2.735,48.5,4.75
35,Cs1Ba0.12Ge0.88I3,0.108798188,1.0359,0,0,1,0,0,0,0,0.125,0.875,0,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.64125,2978.375,1185.3125,5.10375,80.7,98.5,729.7,28.82625,310.0375,1.87,35,4.25,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
36,K0.62Rb0.38Ba1I3,0.634498466,3.1218,0.625,0.375,0,0,0,0,0,1,0,0,0,0,0,1,1.5475,1006,327.73625,1.112,56.4868625,47.80875,412.875,2.33375,74.0125,0.82,25.75,4.375,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
37,Rb0.38FA0.62Ca1I3,0.206581007,3.3724,0,0.375,0,0,0.625,1,0,0,0,0,0,0,0,1,2.185,559.75,338.48625,1.262,60.237925,22.95875,681.75,4.94,44.075,1.91375,70.75,6.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
38,FA1Sr0.12Ba0.12Ge0.12Sn0.25Pb0.38Cl3,0.012835872,2.4595,0,0,0,0,1,0,0.125,0.125,0.125,0.25,0.375,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.025,2332.625,758.46125,7.515,144.5725,59,672.275,9.59,215.73,1.845,59,5.375,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
39,MA1Sn0.12Pb0.88I3,-0.000417963,1.5546,0,0,0,1,0,0,0,0,0,0.125,0.875,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.13,2129.625,588.70875,10.845,196.13875,111.375,714.6375,5.07375,191.95875,2.28375,78,5.875,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
40,K0.38Rb0.12Cs0.12MA0.38Pb1Cl3,-0.117755568,2.6252,0.375,0.125,0.125,0.375,0,0,0,0,0,0,1,1,0,0,1.79875,725.625,270.94625,1.01025,53.9960125,32.9375,601.6375,3.7265,54.9175,1.465,46,5.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
41,K1Ba1Cl0.38Br2.62,0.790886633,3.5498,1,0,0,0,0,0,0,1,0,0,0,0.125,0.875,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.94125,320.26625,254.2275,3.13175,74.3475875,327.625,1153.8,5.0265,14.159375,2.985,32.75,3.875
42,MA1Ba1Cl3,0.245233346,4.9096,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
43,MA1Ca0.12Pb0.88Cl1.5Br1.5,-0.175817789,2.4298,0,0,0,1,0,0.125,0,0,0,0,0.875,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.16625,1989.75,664.56875,10.125,186.30975,76.75,699.7875,5.24,174.99625,2.16375,74.25,5.75,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
44,FA1Sr1I3,0.096973361,3.2978,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
45,K0.12Rb0.5Cs0.38Ca1Cl3,-0.177647901,5.0211,0.125,0.5,0.375,0,0,1,0,0,0,0,0,1,0,0,1.64625,963.625,311.4925,1.57475,97.4607125,46.54875,394.7375,2.24575,69.615,0.80875,41.5,5.25,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
46,MA1Ba0.5Ge0.5Br3,0.064817941,3.3848,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.975,2592.5,1106.75,4.455,104.97,34,632.5,19.905,237.25,1.45,44,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
47,K0.25Rb0.25Cs0.5Ca1Cl3,-0.175075356,5.0337,0.25,0.25,0.5,0,0,1,0,0,0,0,0,1,0,0,1.65,970.5,313.1275,1.533,97.594225,46.5575,393.3,2.2135,70.395,0.805,41.5,5.25,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
48,K1Sn1Br3,0.160035979,0.5281,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
49,FA1Ba0.75Pb0.25I3,0.057323732,3.201,0,0,0,0,1,0,0,0.75,0,0,0.25,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.3625,2064.25,901.6625,5.53,154.7975,-11.5,556.05,7.2,149.625,1.25,62.5,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
50,Rb0.38Cs0.25MA0.38Pb1Br3,-0.107116915,2.0256,0,0.375,0.25,0.375,0,0,0,0,0,0,1,0,1,0,1.8525,696.5,260.49625,1.3045,77.314275,32.21125,592.3,3.69925,51.8475,1.46125,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
51,K0.5Rb0.12MA0.38Sr1Cl3,0.019348821,5.1812,0.5,0.125,0,0.375,0,0,1,0,0,0,0,1,0,0,1.77,736.75,275.35375,0.884,42.270125,33.29625,607.025,3.75625,56.0625,1.46875,41.5,5.25,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
52,Rb1Ca0.88Sr0.12Cl3,-0.087108984,4.8745,0,1,0,0,0,0.875,0.125,0,0,0,0,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.0325,1744.25,1103.25,1.67375,46.02075,-157.5,584.7625,8.48875,152.44875,0.99375,22.25,4.125,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
53,K1Ca0.25Sr0.25Ba0.12Ge0.12Pb0.25Br3,0.376298399,3.3131,1,0,0,0,0,0.25,0.25,0.125,0.125,0,0.25,0,1,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.10625,2006.875,965.35,4.97375,109.967,-45,621.825,10.35125,176.68,1.4325,46,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
54,FA1Ge1Cl1.12Br1.88,-0.306307343,2.9753,0,0,0,0,1,0,0,0,1,0,0,0.375,0.625,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.90375,297.09875,230.7825,3.15525,63.2347625,333.675,1181.6,4.5075,13.028125,3.035,28.25,3.625
55,MA1Pb1Cl1.5Br1.5,-0.193354844,2.2625,0,0,0,1,0,0,0,0,0,0,1,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
56,K0.25FA0.75Sr1Br3,0.039927552,4.1699,0.25,0,0,0,0.75,0,1,0,0,0,0,0,1,0,2.275,497.5,349.7,1.04,43.599575,18.54,741.45,5.4575,40.975,2.1325,73,7,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
57,MA1Ca1Cl2.25Br0.75,-0.042585939,4.85,0,0,0,1,0,1,0,0,0,0,0,0.75,0.25,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.8475,262.3475,195.615,3.1905,46.565525,342.75,1223.3,3.729,11.33125,3.11,21.5,3.25
58,K0.12Rb0.25Cs0.62Pb1Cl3,-0.087117068,2.2004,0.125,0.25,0.625,0,0,0,0,0,0,0,1,1,0,0,1.67875,959.375,308.72,1.65925,109.3201125,46.19875,387.9125,2.18375,69.25,0.80125,46,5.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
59,MA0.88FA0.12Ge1Br3,-0.282513085,2.1534,0,0,0,0.875,0.125,0,0,0,1,0,0,0,1,0,2.215,273.5,202.625,0.75,33.725,8.67,916.375,6.17625,24.5375,2.5525,75.25,7.125,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
60,MA1Pb1Br0.75I2.25,-0.021956102,1.8293,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.75,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,426.0875,356.5125,4.4775,115.154375,302.625,1041.275,7.1415,19.35625,2.735,48.5,4.75
61,K1Sr0.62Ba0.25Pb0.12I3,0.543520173,3.1052,1,0,0,0,0,0,0.625,0.25,0,0,0.125,0,0,1,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.29125,1806.75,976.83125,3.90375,114.995,-104.25,558.6,7.72375,142.85,1.1075,48,5.375,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
62,K1Sr1Cl1.5Br1.5,0.420522392,3.9305,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
63,Rb0.38Cs0.12FA0.5Sr1I3,0.074577452,3.3934,0,0.375,0.125,0,0.5,0,1,0,0,0,0,0,0,1,2.08625,637.875,331.92875,1.35825,71.2136,27.57,622.5875,4.389,48.9175,1.69125,66.25,6.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
64,K0.75Rb0.25Ge1Cl3,-0.178254708,0.8923,0.75,0.25,0,0,0,0,0,0,1,0,0,1,0,0,1.535,1015,330.7575,1.028,50.690675,47.9925,414.85,2.3325,74.975,0.82,23.5,4.25,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
65,MA1Sn0.12Pb0.88Cl1.5Br1.5,-0.206456064,1.9781,0,0,0,1,0,0,0,0,0,0.125,0.875,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.13,2129.625,588.70875,10.845,196.13875,111.375,714.6375,5.07375,191.95875,2.28375,78,5.875,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
66,K0.38Rb0.12Cs0.12MA0.38Ca1Cl3,-0.07706835,5.0838,0.375,0.125,0.125,0.375,0,1,0,0,0,0,0,1,0,0,1.79875,725.625,270.94625,1.01025,53.9960125,32.9375,601.6375,3.7265,54.9175,1.465,46,5.5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
