Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
381,Rb1Ca1Cl1.5I1.5,0.067832562,3.8143,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.005,348.34,279.435,4.072,81.1786,322.05,1129.75,5.485,15.55,2.91,35,4
382,Rb0.75Cs0.25Sn1I3,-0.0214333,0.4455,0,0.75,0.25,0,0,0,0,0,0,1,0,0,0,1,1.6425,956.75,309.8575,1.6165,97.3272,46.54,396.175,2.278,68.835,0.8125,41.5,5.25,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
383,K1Ge1Cl3,-0.11249071,0.9039,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
384,Rb0.38Cs0.12MA0.5Ca1Cl3,-0.126790958,5.0945,0,0.375,0.125,0.5,0,1,0,0,0,0,0,1,0,0,1.90625,611.875,245.42875,1.15825,64.7136,27.61,661.0875,4.204,46.3675,1.68125,57.25,6.125,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
385,Cs1Pb1Br2.25I0.75,-0.089273596,1.6197,0,0,1,0,0,0,0,0,0,0,1,0,0.75,0.25,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.02,363.2625,296.1375,3.5725,91.654125,317.275,1107.025,5.9045,16.26875,2.885,39.5,4.25
386,Cs1Ca0.25Sr0.5Ge0.12Pb0.12Br3,-0.106949722,3.5905,0,0,1,0,0,0.25,0.5,0,0.125,0,0.125,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.095,1908,1025.51875,3.74125,88.80575,-94.25,606.9,10.80375,171.1425,1.2675,38.25,4.75,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
387,K1Ge1Cl2.62Br0.38,-0.098575082,0.791,1,0,0,0,0,0,0,0,1,0,0,0.875,0.125,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.82875,250.76375,183.8925,3.20225,41.0091125,345.775,1237.2,3.4695,10.765625,3.135,19.25,3.125
388,Rb1Ba1Cl1.12Br1.88,0.560189828,3.8023,0,1,0,0,0,0,0,1,0,0,0,0.375,0.625,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.90375,297.09875,230.7825,3.15525,63.2347625,333.675,1181.6,4.5075,13.028125,3.035,28.25,3.625
389,K0.25Rb0.38Cs0.38Sn1I3,-0.009310587,0.4234,0.25,0.375,0.375,0,0,0,0,0,0,1,0,0,0,1,1.63375,972.625,314.51375,1.49075,91.664525,46.7325,396.7125,2.2445,70.5775,0.80875,39.25,5.125,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
390,K0.25Rb0.25Cs0.12MA0.38Ge1Br3,-0.204148201,1.6225,0.25,0.25,0.125,0.375,0,0,0,0,1,0,0,0,1,0,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
391,MA1Pb1Cl1.12I1.88,-0.037166973,1.867,0,0,0,1,0,0,0,0,0,0,1,0.375,0,0.625,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.05375,375.63,306.25125,4.2865,92.610075,315.3625,1099.4125,6.05375,16.8875,2.8475,39.5,4.25
